party,disabled,water_resources,adoption,doctors,salvador,religions,anti_satellite,nicaragua,missile,immigrant,alternative_fuel,education,superfund_right,crime,duty_free_exports,export
republican,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no
democratic,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,abstained
republican,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no
democratic,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes
republican,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no
democratic,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes
republican,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes
republican,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes
republican,no,yes,yes,yes,yes,yes,yes,abstained,no,no,no,no,abstained,abstained,yes,abstained
democratic,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
democratic,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes
democratic,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,abstained
democratic,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,abstained
democratic,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,yes
democratic,yes,yes,yes,no,abstained,yes,no,abstained,no,no,yes,no,yes,yes,no,abstained
democratic,yes,yes,yes,no,yes,yes,no,yes,abstained,yes,no,no,yes,yes,no,abstained
republican,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no
democratic,no,yes,no,no,yes,yes,no,no,abstained,no,no,yes,yes,yes,no,yes
democratic,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,yes
democratic,yes,abstained,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,abstained
republican,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no
democratic,yes,abstained,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,abstained
democratic,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,abstained
democratic,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes
democratic,no,yes,yes,no,no,yes,yes,yes,abstained,no,yes,yes,no,no,yes,yes
republican,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,abstained
democratic,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,abstained,yes
democratic,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes
democratic,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes
republican,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no
republican,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes
democratic,no,abstained,yes,abstained,no,yes,yes,yes,yes,yes,yes,no,abstained,abstained,yes,yes
democratic,no,yes,yes,no,yes,abstained,yes,no,no,yes,yes,no,yes,no,yes,yes
republican,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes
democratic,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes
republican,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes
republican,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes
republican,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no
democratic,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,abstained
republican,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes
democratic,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes
republican,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
democratic,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,abstained
republican,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes
democratic,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,abstained,no,no,yes,yes
republican,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes
republican,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no
republican,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no
democratic,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,abstained
republican,no,no,no,yes,yes,yes,no,no,no,yes,abstained,yes,yes,yes,no,yes
democratic,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes
democratic,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,abstained
democratic,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
republican,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no
republican,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes
democratic,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no
democratic,yes,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,abstained
democratic,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,abstained
democratic,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes
democratic,yes,yes,yes,no,abstained,yes,yes,yes,no,yes,abstained,abstained,no,no,yes,yes
democratic,yes,yes,yes,no,abstained,no,yes,yes,yes,yes,no,no,no,no,yes,abstained
democratic,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,abstained,yes,no,no
democratic,no,yes,yes,abstained,yes,yes,no,yes,no,yes,abstained,no,yes,yes,abstained,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes
democratic,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,no
democratic,yes,abstained,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes
republican,no,yes,no,yes,yes,yes,abstained,abstained,no,no,abstained,abstained,yes,abstained,abstained,abstained
republican,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes
republican,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes
democratic,yes,yes,yes,no,no,yes,abstained,yes,yes,no,yes,no,yes,no,yes,yes
democratic,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,abstained
democratic,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,abstained
democratic,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes
democratic,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes
democratic,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no
democratic,no,abstained,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,abstained
democratic,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,abstained
democratic,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,abstained
democratic,yes,no,yes,no,no,no,yes,yes,yes,abstained,yes,no,no,no,yes,abstained
democratic,abstained,abstained,no,no,abstained,yes,abstained,no,no,no,yes,yes,no,yes,no,abstained
democratic,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no
republican,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes
republican,abstained,abstained,abstained,abstained,no,yes,no,yes,yes,no,no,yes,yes,no,no,abstained
democratic,yes,yes,abstained,abstained,abstained,yes,no,no,no,no,yes,no,yes,no,no,yes
democratic,yes,yes,yes,abstained,no,no,no,yes,no,no,yes,abstained,no,no,yes,yes
democratic,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,yes
democratic,yes,yes,no,no,yes,abstained,no,no,no,no,yes,no,yes,yes,no,yes
democratic,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
republican,no,yes,no,yes,abstained,yes,no,no,no,yes,no,yes,yes,yes,no,no
republican,no,yes,no,yes,yes,yes,no,abstained,no,no,abstained,abstained,abstained,yes,no,abstained
republican,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no
republican,abstained,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
republican,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,abstained,yes,no,no
republican,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes
republican,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes
democratic,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes
democratic,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no
democratic,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,abstained,yes,yes,yes
republican,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no
republican,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes
democratic,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes
republican,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes
republican,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,abstained,abstained,abstained,yes,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes
democratic,no,yes,yes,no,no,yes,yes,yes,abstained,yes,no,no,no,no,no,yes
republican,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes
republican,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes
democratic,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes
democratic,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes
democratic,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes
democratic,no,yes,yes,no,no,abstained,yes,yes,yes,yes,yes,no,abstained,yes,yes,yes
democratic,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,abstained
democratic,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes
republican,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes
democratic,abstained,abstained,abstained,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes
democratic,yes,no,yes,no,abstained,no,yes,yes,yes,yes,no,yes,no,abstained,yes,yes
republican,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes
democratic,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes
republican,no,abstained,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes
republican,no,no,no,yes,yes,yes,abstained,abstained,abstained,abstained,no,yes,yes,yes,no,yes
republican,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,abstained,no
